代碼,面向,重大議題,重點定義 (人工編碼參考_已調整),關聯關鍵字 (人工編碼參考_已調整),完整定義 (大型語意模型用_尚未修正)
F0011,經濟,進、銷貨風險,進、銷貨風險指企業在採購和銷售過程中可能面臨的風險。進貨風險包括供應商失靈、交貨延誤、品質不符合預期、價格波動等；銷貨風險則涉及客戶付款延遲、市場需求波動、競爭加劇、產品質量問題。,進貨風險/銷貨風險/進貨或銷貨集中風險/延遲交貨風險/物料供應風險/原物料供需風險/存貨風險/斷料風險/庫存呆料風險/銷貨通路風險,進、銷貨風險指的是企業在進行採購和銷售過程中可能面臨的潛在風險。這些風險可能包括但不限於：進貨風險：指企業在採購原材料、產成品或服務時可能面臨的各種風險，例如供應商失靈、交貨延誤、品質不符合預期、價格波動等。銷貨風險：指企業在銷售產品或服務時可能面臨的各種風險，例如客戶付款遲延或拖欠、市場需求變動、競爭壓力增加、產品質量問題等。（一）進貨風險：供應商失靈或倒閉、交貨延誤或不完全、品質不符合預期標準、價格波動對成本的影響（二）銷貨風險：客戶付款遲延或拖欠、市場需求波動或下降、競爭加劇導致銷售壓力增加、產品或服務質量問題影響顧客滿意度。
F0012,經濟,供應鏈風險,供應鏈風險是指在物資流通過程中可能出現的不確定性，而影響企業的穩定運營，包括：運輸成本上升、交通事故和延誤；供應商經營不善或倒閉；突發事件導致供應鏈中斷；商業合作夥伴關係變動和市場需求變化等。,合作廠商服務不佳風險/供應商風險/供應鏈管理風險/供應鏈永續風險/供應鏈中斷的風險/供應鏈之未合規風險/合作夥伴風險/供應鏈安全風險/供應商企業社會責任風險,"供應鏈風險是指因物資經由供應鏈流經眾多的生產流通企業到用戶而產生的不確定性,包括商流、物流和信息流的風險,例如運輸、供應商資格、產品和服務品質等。（一）運輸風險：運輸成本上升、交通事故和延誤。（二）供應商風險：供應商經營不善或倒閉。（三）供應鏈中斷風險：突發事件導致供應鏈中斷、供應鏈節點單一化風險。（四）商流風險：商業合作夥伴關係變動、市場需求變化。"
F0013,經濟,投資風險,投資風險指企業在投資過程中可能發生的損失，包括本金、收益和機會成本的損失，例如：投資標的價值下跌（股票市值下跌、破產）、難以變現或投資決策失誤等。,設備投資風險/投資風險/投資人風險/高槓桿投資風險/企業投資風險/財務投資風險/策略性投資風險/,投資風險是指投資過程中可能發生的損失，包括本金損失、收益損失和機會成本損失。 投資風險主要包括以下幾種類型：（一）市場風險：指因市場波動導致投資價值下降的風險，例如股票市場下跌、匯率波動等。（二）信用風險：指因投資標的違約導致投資價值下降的風險，例如公司破產、債券違約等。（三）流動性風險：指因投資標的難以變現導致投資價值下降的風險，例如投資於非公開交易的股票或房地產等。（四）操作風險：指因投資決策失誤或操作不當導致投資價值下降的風險，例如投資於不了解的產品或過度頻繁交易等。
F0014,經濟,策略風險,策略風險指企業因經營策略的決策失誤而產生的損失風險，例如：未考慮市場變化、策略執行不力、低估新市場的挑戰與機會、競爭對手強勢反應、產品替代風險、以及法規政策變動等因素。,跨國經營風險/策略營運風險/策略風險/策略佈局風險/經營策略風險/銷售策略風險/組織策略風險/策略業務風險,策略風險（Strategic Risk）係指因經營策略失誤， 而產生損失之風險。因不適當策略或是企業營運環境的改變而導致的風險，例如訂定策略時未進行詳細的研究及分析、未充分考慮市場變化、競爭對手行動等因素，導致策略失敗或無法達成預期目標。（一）策略制定風險：未考慮市場變化和趨勢、忽略競爭對手的行動、過於樂觀的假設和預測。（二）執行風險：策略執行不力或錯誤。（三）市場風險：新興市場的挑戰和機會。（四）競爭風險：現有競爭對手的強勢反應、產品或服務被替代的風險。（五）外部環境風險：法規政策變動。
F0015,經濟,新技術、產品及服務開發,新技術或新產品開發風險是指由外部環境的不確定性、創新項目本身的難度與複雜性、企業自身能力與實力的有限性，而導致企業的技術或產品創新活動達不到預期目標的損失風險。,研發風險/產品需求風險/新產品研發風險/研究與發展風險/新技術與新設備風險/技術風險/開發風險/創新技術風險/新產品上市風險/新產品應用投資風險,新技術或新產品開發風險，是指由外部環境的不確定性、技術創新項目本身的難度與複雜性、創新者自身能力與實力的有限性，而導致技術創新活動達不到預期目標的可能性，而技術風險又可分為：(一) 技術風險：關鍵技術難突破、實驗設備缺乏；(二)市場風險：新產品的功能屬性特殊或因消費者慣性等因素，一時難被市場所接受；(三) 財務風險：研發資金不足、融資不順；(四)政策風險：不符合國家或地方的科技政策、環保政策或外貿政策等；(五)生產風險：量產困難、生產技術難度高、生產周期過長或生產成本太高等；(六)管理風險：組織協調不力、領導人決策錯誤、市場調研不正確等。
F0016,經濟,道德風險,道德風險指的是在契約簽訂或交易完成後，因信息不對稱，一方利用資訊優勢損害另一方利益。例如，隱瞞關鍵資訊、在利益衝突下做決策或將風險轉嫁給資訊不足的一方，導致對方做出錯誤決策。,貪污及賄賂風險/不誠信行為風險/誠信經營風險/貪腐風險/道德風險/勞工道德風險/商業道德風險/道德與倫理作為的風險/不當交易風險,道德風險是在「事後」（契約簽訂或交易完成後）因交易雙方握有不同程度之資訊而存在資訊不對稱，資訊相對充分之一方為追求自身利益極大下作出損害另一方之作為。（一）信息不對稱：交易雙方掌握的信息不同。（二）不當行為：隱瞞關鍵資訊，導致另一方做出錯誤決策。（三）利益衝突：一方在有利益衝突的情況下做出決策。（四）風險轉嫁：將風險轉嫁給資訊不足的一方。
F0017,經濟,通貨膨脹風險,通貨膨脹風險是指由於物價上漲，導致存款或投資的實際價值減少的風險。,通貨膨脹風險/資產泡沫風險/物價風險,通貨膨脹風險，又稱為「購買力風險」，是指由於通貨膨脹因素導致銀行成本增加或實際收益減少的可能性。 通貨膨脹也會使銀行資產的實際收益下降。 資產實際收益率等於資產名義收益率減去通貨膨脹率，通貨膨脹率越高，資產實際收益率越低，當通貨膨脹率高於資產名義收益率時，資產實際收益率即為負數，資產的實際購買力反而下降了。
F0018,經濟,設備風險,設備風險指的是設備在使用過程中可能造成的危害或損失，包括對人員的傷害（如機械、噪音、化學傷害）、對環境的污染（如空氣、水污染）以及對財產的損失（如設備故障增加維修成本、停機造成經濟損失）。,消防及建築物安全風險/醫療器材風險/工安風險/維修風險/廠務設備供應風險/基礎設備故障風險/廠房風險/消防與設備設施安全風險/設施風險/停電風險/職安風險,設備風險是指設備在使用過程中可能發生的危害或損失，包括對人員、環境和財產的損害。（一）對人員的損害：包括機械、噪音、化學、心理傷害。（二）對環境的損害：污染風險（空氣污染、水污染、噪音汙染）、生態破壞。（三）對財產的損害：設備故障導致維修成本上升、機器損壞導致停機造成經濟損失。
F0019,經濟,商譽受損,商譽受損是指因公司聲譽/企業形象受損而影響到金融資本、社會資本或市場佔有率的風險。,聲譽風險/商業聲譽風險/企業形象風險/名譽風險/信譽風險/商譽減損風險/品牌形象風險,商譽受損是指因公司的聲譽受損而影響到金融資本、社會資本或市場佔有率的風險，商譽損害類型包括（一）企業形象受損：品牌信任度下降、消費者對企業產品或服務的信心減弱。（二）法律及財務後果：遭受法律訴訟、支付賠償金和法律費用。（三）市場份額減少：顧客流失。（四）競爭劣勢：失去市場競爭力。（五）合作關係受損：供應商和合作夥伴信任度降低。
F0020,經濟,採購風險,採購風險是指在採購過程中可能發生的不確定事件，導致目標無法達成或成本增加。這些風險包括供應商失靈、交貨延誤、產品質量不合格、運輸中斷、市場需求變化、預測錯誤，以及技術更新導致原材料不再適用等。,物料採購風險/採購風險/採購驗收付款管理風險/採購成本及庫存風險/採購管道風險/採購發包風險,採購風險是指在採購過程中可能發生的不確定事件，這些事件可能導致採購目標無法達成，或造成成本增加、時程延誤等負面影響。（一）供應商風險：供應商失靈或倒閉、供應商無法按時交貨、供應商提供的產品或服務質量不符合要求。（二）物流風險：運輸延誤或中斷、運輸過程中產品損壞或丟失。（三）需求變動風險：市場需求變化導致訂單變動、預測錯誤導致過量或不足採購。（四）技術風險：技術更新或替代導致原材料或產品不再適用。
F0021,經濟,業務風險,業務風險是指企業在業務與銷售拓展過程中，面臨各種不確定因素，所造成盈利、業績、或服務成果不佳的負面影響。,業務責任風險/業務風險/客戶集中風險/客戶服務風險/行銷風險,業務風險是指企業在經營過程中可能遭遇的各種不確定性因素，這些因素可能會對企業的盈利能力、資產安全或聲譽造成負面影響。（一）市場風險：市場需求變動、競爭對手策略、消費者偏好轉變。（二）行銷風險：廣告效果不佳、行銷策略失敗、品牌形象受損。（三）財務風險：資金鏈斷裂、現金流不足、匯率波動。（四）運營風險：生產中斷、供應鏈問題、人員流失。（五）法律風險：合規性問題、訴訟風險、政策變動。（六）技術風險：技術更新失敗、數據泄露、網絡攻擊。
F0022,經濟,資產管理風險,資產管理風險指因企業因管理資產配置與資產價值不善時，可能導致的潛在損失。,資產風險/資產負債配置風險/資金曝露風險/資產負債管理風險/資本支出風險/企業資產風險,"資產管理風險是指因組織資產管理不善而導致的潛在損失。這包括財務、聲譽、法律和作業等風險。有效的資產管理可以降低這些風險,確保資產得到妥善保護和利用。（一）財務風險：資產價值減損、投資決策失誤、資金流動性不足。（二）聲譽風險：資產管理不當引發的負面媒體報導、客戶信任下降。（三）法律風險：不合規的資產管理操作導致的法律訴訟、罰款或制裁。（四）作業風險：資產管理流程中的操作失誤、管理系統故障、資產遺失或被盜。（五）市場風險：市場價格波動對資產價值的影響。（六）技術風險：管理系統的數據泄露或網絡攻擊。（七）人員風險：關鍵管理人員流失或專業能力不足。"
F0023,經濟,品質風險,品質風險指可能影響產品或服務質量的不確定因素。,產品品質風險/品質不良風險/品質管理風險/品管流程風險/品質與滿意度風險/產品質量風險,"品質風險是指可能影響產品或服務質量的不確定性因素。根據ISO 9000:2015標準,風險被定義為「不確定性之影響」,即可能導致預期結果偏離的因素。品質風險管理旨在識別、分析和評估這些潛在風險,以採取適當措施來預防或降低其影響。（一）製造過程風險：生產中可能發生的錯誤或缺陷。（二）供應商品質風險：供應鏈中供應商產品或服務質量不符合期望。（三）設計變更風險：產品或服務設計變更可能導致的質量問題。（四）人為錯誤風險：人員操作或管理不當可能引起的品質問題。（五）市場需求變化風險：市場需求變化對產品或服務質量的影響。（六）技術變更風險：技術更新或變更對產品或服務品質的影響。（七）測試與驗證不足風險：測試和驗證程序不完善可能導致未檢測到的品質問題。"
F0024,經濟,外在競爭,外在競爭是指企業與外部環境中其他企業的競爭關係、競爭類型與競爭程度等。,新型態競爭者風險/新型競爭風險/競爭風險/市場競爭風險/同業競爭風險/產業競爭風險/產品競爭風險,外在競爭是指企業與外部環境中其他企業的競爭關係，包括產業競爭、市場競爭、區域競爭、國際競爭等。外在競爭的影響因素包括產業結構、競爭者數量、競爭者規模、競爭者策略、市場需求、政府政策等。（一）產業競爭：同一行業內不同企業之間的競爭（二）市場競爭：在特定市場中不同企業爭奪市場份額和客戶（三）國際競爭：跨越國界，企業與來自其他國家的企業之間的競爭（四）技術競爭：企業之間在技術創新和研發能力上的競爭（五）價格競爭：企業通過價格策略來競爭。
F0025,經濟,智慧財產風險,智慧財產風險是指企業在商業活動中可能被他人侵犯或侵犯他人的智慧財產權（如專利、商標、著作權等），導致法律責任或經濟損失的風險。,智慧財產權風險/專利風險/專利訴訟風險/專利侵權風險/智慧財產管理風險/知識產權風險/智財侵權風險,智慧財產風險是指在進行商業活動時，可能侵犯到他人的智慧財產權，例如專利、商標、著作權等，而導致產生法律責任或經濟損失的可能性。（一）專利風險：開發新產品時侵犯現有專利（二）商標風險：使用與他人註冊商標相似的標誌（三）著作權風險：未經許可使用受著作權保護的內容（如音樂、圖片、文字等）（四）貿易機密風險：員工洩露公司機密資料給競爭對手。
F0026,經濟,內部控制,內部控制是企業用來確保其運營、報告和合規目標達成的過程。,內部控制風險,內部控制是指由企業董事會、管理階層與其他成員負責設計及執行的一種過程，以合理確認營運、報導與遵循等相關目標之達成。它包含三個主要目標：營運目標、報導目標和遵循目標。（一）營運目標：資源有效利用（確保資源配置和使用的效率）、資產保護（防止資產被盜用、損壞或浪費）、業務流程效率（提升業務流程的效率和效果）。（二）報導目標：財務報表準確性（保證財務報表的真實性和可靠性）、內部報告質量（確保內部報告的準確性和及時性）（三）遵循目標：法規遵循（遵守適用的法律、法規和政策）、內部政策遵循（遵守公司內部的政策和程序）。
F0027,經濟,保險風險,保險風險係指經營保險本業於收取保險費後，承擔被保險人移轉之風險，依約給付理賠款及相關費用時，因非預期之變化造成損失之風險。,保險風險/被保險人移轉風險/核保風險/理賠風險,保險風險係指經營保險本業於收取保險費後，承擔被保險人移轉之風險，依約給付理賠款及相關費用時，因非預期之變化造成損失之風險。可能導致保險公司損失的事件或情況。它包括各種因素，例如被保險人死亡、受傷、生病、財產損失或責任索賠。保險公司會根據這些風險評估保費，以確保有足夠的資金來支付索賠。（一）生命風險：被保險人死亡或重大疾病。（二）健康風險：被保險人受傷、生病或需要醫療服務。（三）信用風險：保單持有人或再保險公司無法履行支付義務。（四）流動性風險：保險公司無法及時支付保單持有人的索賠。（五）法律及合規風險：新法律法規的變更可能影響保險公司的運營和成本。
F0028,經濟,價格風險,商品價格風險是指因市場價格的不確定性，對企業的物質商品資產所帶來的收益或損失。,價格風險/存貨跌價風險/價格波動風險/價格下跌風險/大宗材料漲價風險/價格競爭風險,商品價格風險是指因市場價格的不確定性對企業的物質商品資產所帶來的收益或損失。企業商品價格風險可分為直接商品價格風險和間接商品價格風險。
F0029,經濟,背書風險,背書風險是指背書人因被背書人未能履行債務而需承擔償還責任的風險。,背書保證風險/背書風險,背書風險是指背書人因被背書人未履行債務而需負擔償還責任的風險。背書人可能需要承擔的責任包括償還本金、利息、違約金等。（一）償還本金：背書人需償還未履行的本金。（二）支付利息：背書人需支付因未履行債務而累積的利息。（三）違約金：背書人需支付因違約而產生的罰款或違約金。（四）法律費用：背書人可能需要支付因法律訴訟產生的費用。（五）其他相關費用：背書人可能需要承擔的其他與債務相關的費用。
F0030,經濟,公司治理風險,公司治理風險是指公司內部管理架構設計不當或執行不完善，可能導致公司經營不穩定，進而影響其整體價值，對投資者利益構成威脅。,公司治理風險/董監事及經理人管理責任風險/董事會治理風險/決策風險/董事會決策風險,公司治理風險是指公司治理制度設計不合理或運行機制不健全，可能導致公司持續經營不穩定，進而影響公司總價值，最終威脅投資者利益。 這些風險可能來自多方面，單獨來看可能潛伏期長、威脅有限，甚至不易察覺，但隨著時間累積，各種風險相互作用，最終可能導致總爆發。（一）董事會結構風險： 董事會成員缺乏獨立性或專業知識，無法有效監督管理層。（二）高管職能風險： 高層管理者能力不足或缺乏適當的業務經驗，影響戰略決策和公司運營。（三）信息透明度風險： 公司財務報告不准確或不透明，影響投資者對公司真實狀況的理解。（四）利益衝突風險： 董事、高管或股東的利益與公司整體利益存在衝突，導致決策不公平或不符合公司最佳利益。（五）合規風險： 公司未能遵守法律法規和行業標準，面臨罰款、訴訟或其他法律後果。（六）財務管理風險： 資金管理不當、財務結構不穩或財務報表造假，影響公司財務健康。（七）監控機制風險： 公司內部控制不足或審計程序不完善，增加財務舞弊和資產損失風險。（八）風險管理文化風險： 公司未能建立良好的風險管理文化和制度，無法有效應對各類風險。（九）股東權利風險： 股東的權利未能得到充分保障，可能影響公司的治理效能和長期發展。
F0031,經濟,成本風險,成本風險是指企業在投資、運營或開發計畫中，因為未準確估計成本或未來成本變化的不確定性而可能遭受損失的風險。,低碳轉型成本風險/成本增加風險/成本風險/人工成本上揚風險/採購成本及庫存風險/營造成本風險/資金成本風險/勞動力成本風險/生產成本風險/生活成本風險,成本風險是指企業在進行投資、營運或開發計畫時，由於成本估算不當或未來成本變動不確定性而導致的損失風險。這可能包括原物料成本上漲、勞動力成本增加或貨幣貶值等因素。（一）原物料成本風險：原材料價格上漲、原材料供應不足。（二）勞動力成本風險：法定最低工資上調、員工培訓和發展成本上升。（三）運營成本風險：維護和保養成本。（四）財務成本風險：利率、匯率、通膨風險。
F0032,經濟,稅務風險,稅務風險指的是企業面臨經營所在地的稅率波動或財務會計準則調整所影響。,稅務風險/關稅壁壘風險/稅務治理風險/稅務政策風險/稅收風險 / 會計風險,稅務風險是指對未來租稅負擔可能波動的情形，是對未來稅負的不確定，且未來有效稅率異常波動主要是導因於稅務機關的質疑。（一）合規風險：報稅錯誤、遲報或漏報、不當的稅務規劃。（二）稅率和稅制變動風險：稅率上調、稅收政策變更。（三）交易和業務結構風險：跨境交易風險、企業重組風險。（四）與稅務機關的爭議風險：稅務糾紛。
F0033,經濟,企業社會責任風險,企業社會責任風險指的是企業在履行社會責任時可能面臨的各種損失和潛在影響，涉及環境、社會、員工權益和商業管理等方面。,企業永續發展風險/社會責任風險/社會責任道德風險,企業社會責任風險是指企業在履行社會責任過程中可能面臨的損失、風險以及承擔的責任和可能引發的不良影響。這些風險可能涉及環境、社會、勞工權益、商業治理等範疇。（一）環境風險：污染排放、廢棄物處理（二）社會風險：社區影響、企業活動對公共安全的影響等（三）勞工權益風險：工作環境、工時和工資、勞工權益保障（四）商業治理風險：合規風險、透明度和問責制（五）經濟風險：經濟可持續性。
F0034,經濟,系統性風險,系統性風險又稱為不可分散風險，是影響整個市場且不能透過資產組合而消除的風險，例如：天災人禍、金融海嘯、重大政策調整等。,系統性風險/全球系統性不確定風險/股市系統性風險,系統性風險，又稱市場風險、不可分散風險，是影響所有資產的、不能透過資產組合而消除的風險。這部分風險是由那些影響整個市場的風險所引起的，例如：戰爭、政權更迭、自然災害、經濟週期、通貨膨脹、能源危機和宏觀政策調整。系統性風險 = 大盤風險，像是天災人禍、金融海嘯，指廣泛的市場因素。這種風險無法分散、避免，包含了經濟、利率變動所造成的風險。（一）經濟風險：高通貨膨脹、高失業率（二）政治風險：重大政策調整（三）自然風險：自然災害、氣候變化（四）金融風險：金融危機、貨幣貶值（五）能源風險：可再生能源政策推行、能源供應中斷（六）技術風險：技術變革。
F0035,環境,氣候變遷風險,氣候變遷風險為因氣候有關的災害可能帶來的經濟損失。,氣候變遷風險/環境及氣候風險/極端氣候風險/氣候潛在風險/氣候變遷財務風險/產業氣候變遷風險/災害風險,氣候變遷風險包含一階風險和二階風險。一階風險主要是與氣候相關的災害，如熱浪、強降雨、洪水等，會帶來經濟損失。而二階風險則是指轉型風險，例如監管、科技、市場變化等，可能對商業結構帶來非計劃性或突然性影響。（一）一階風險（與氣候相關的災害）：高溫導致的農作物減產、強風引起的基礎設施破壞、長期乾旱導致農業損失（作物失收、牲畜死亡）等等。（二）二階風險（轉型風險）：監管風險（碳交易價格上漲）、技術風險（傳統技術被淘汰）、財務風險（災害頻發導致保險費用增加）等等。
F0036,環境,環境法規風險,環境法規風險是指企業因遵守或違反相關環境法律規定而可能面臨的損失或負面影響，包括法律遵守成本、罰款、訴訟風險等。,環境政策法規風險/環境法規風險/環保法規變動風險/再生能源法規風險,環境法規風險指企業或組織在遵守或不遵守相關環境法律、法規和標準時可能面臨的損失或負面影響。這些風險源於環境法規的制定、執行和遵守過程中的不確定性和變化性，涉及法律遵循、違規罰款、訴訟風險、公眾和利益團體的反應等方面。
F0038,環境,環境安全衛生風險,環境安全衛生風險指企業在業務活動中可能導致員工人身安全或身心健康受到損害或危害的潛在風險。,人員健康與安全風險/職業安全風險/安全衛生風險/工程風險/職業安全衛生管理風險/職業災害風險/施工或操作風險,環境安全衛生風險指企業或組織在其業務活動中可能導致員工、公眾或環境受到損害或危害的潛在風險。這些風險通常與環境、健康和安全（EHS）管理有關。
F0039,環境,災害風險,災害風險指經由自然或人為危害而引發損失及傷亡的可能性。,火災風險/複合型災害風險/暴雨淹水風險/重大天災風險/災害事故風險/氣候災害風險/自然災害風險/人為事故風險,災害風險指經由自然或人為危害而引發損失及傷亡的可能性。在台灣，自然災害風險主要指颱風、洪水、淹水、土石流、崩塌等災害類型的風險。（一）自然災害風險：地震導致房屋坍塌、洪水及乾旱影響農作等等。（二）人為災害風險：工業事故，例如化學品洩漏、交通事故，例如：大規模交通事故、建築物倒塌，例如：結構設計缺陷。
